GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,br.com.nhac.backend_nhac.domain.produto.dto,GrupoAdicionalDTO,18,0,0,0,1,0,1,0,1,0
,br.com.nhac.backend_nhac.domain.produto.dto,ProdutoResumoDTO,34,92,6,6,7,17,7,3,2,2
,br.com.nhac.backend_nhac.domain.produto.dto,ProdutoUpdateDTO,0,30,0,0,0,1,0,1,0,1
,br.com.nhac.backend_nhac.domain.produto.dto,ProdutoAvaliacaoResumoDTO,6,13,2,2,0,4,2,1,0,1
,br.com.nhac.backend_nhac.domain.produto.dto,ItemAdicionalDTO,9,0,0,0,1,0,1,0,1,0
,br.com.nhac.backend_nhac.domain.produto.dto,ProdutoCreateDTO,0,55,0,0,0,6,0,2,0,2
,br.com.nhac.backend_nhac.domain.produto.dto,ProdutoLojistaDTO,32,69,3,1,7,16,4,2,2,2
,br.com.nhac.backend_nhac.config,CorsConfig,0,51,0,0,0,7,0,2,0,2
,br.com.nhac.backend_nhac.domain.auth.dto,ValidarCodigoSmsDTO,0,12,0,0,0,1,0,1,0,1
,br.com.nhac.backend_nhac.domain.auth.dto,EsqueciSenhaEmailDTO,0,6,0,0,0,1,0,1,0,1
,br.com.nhac.backend_nhac.domain.auth.dto,RegistroRequestDTO,0,18,0,0,0,1,0,1,0,1
,br.com.nhac.backend_nhac.domain.auth.dto,LoginRequestDTO,0,9,0,0,0,1,0,1,0,1
,br.com.nhac.backend_nhac.domain.auth.dto,ChecarEmailResponseDTO,0,6,0,0,0,1,0,1,0,1
,br.com.nhac.backend_nhac.domain.auth.dto,LoginResponseDTO,1,37,1,1,0,3,1,2,0,2
,br.com.nhac.backend_nhac.domain.auth.dto,EnviarCodigoSmsDTO,0,6,0,0,0,1,0,1,0,1
,br.com.nhac.backend_nhac.domain.auth.dto,AlterarSenhaDTO,0,9,0,0,0,1,0,1,0,1
,br.com.nhac.backend_nhac.domain.auth.dto,RedefinirSenhaDTO,12,0,0,0,1,0,1,0,1,0
,br.com.nhac.backend_nhac.domain.auth.dto,EsqueciSenhaDTO,6,0,0,0,1,0,1,0,1,0
,br.com.nhac.backend_nhac.domain.auth.dto,SocialLoginRequestDTO,0,6,0,0,0,1,0,1,0,1
,br.com.nhac.backend_nhac.domain.auth.dto,ConfirmarEmailDTO,9,0,0,0,1,0,1,0,1,0
,br.com.nhac.backend_nhac.domain.auth.dto,ChecarEmailRequestDTO,0,6,0,0,0,1,0,1,0,1
,br.com.nhac.backend_nhac.domain.auth.dto,RedefinirSenhaEmailDTO,12,0,0,0,1,0,1,0,1,0
,br.com.nhac.backend_nhac.domain.avaliacao.dto,AvaliacaoCreateDTO,0,12,0,0,0,1,0,1,0,1
,br.com.nhac.backend_nhac.domain.avaliacao.dto,AvaliacaoResumoDTO,1,36,1,1,0,8,1,2,0,2
,br.com.nhac.backend_nhac.domain.lojista.service,PainelFinanceiroService,391,12,22,0,74,5,24,1,13,1
,br.com.nhac.backend_nhac.domain.lojista.service,LojaAccessService,25,236,5,21,2,59,8,17,3,9
,br.com.nhac.backend_nhac.infra.email,BrevoEmailRequest.Sender,0,9,0,0,0,1,0,1,0,1
,br.com.nhac.backend_nhac.infra.email,BrevoApiException,11,16,0,0,4,6,1,3,1,3
,br.com.nhac.backend_nhac.infra.email,BrevoConfig,1,48,1,1,0,10,1,2,0,2
,br.com.nhac.backend_nhac.infra.email,BrevoEmailRequest.Recipient,0,6,0,0,0,1,0,1,0,1
,br.com.nhac.backend_nhac.infra.email,BrevoProperties,0,50,0,0,0,20,0,11,0,11
,br.com.nhac.backend_nhac.infra.email,BrevoEmailRequest,0,15,0,0,0,1,0,1,0,1
,br.com.nhac.backend_nhac.infra.email,BrevoEmailResponse,0,6,0,0,0,1,0,1,0,1
,br.com.nhac.backend_nhac.infra.email,BrevoEmailClient,34,136,2,4,7,30,2,8,0,7
,br.com.nhac.backend_nhac.domain.usuario,EnderecoUsuarioController,0,66,0,2,0,17,0,7,0,6
,br.com.nhac.backend_nhac.domain.usuario,Papel,0,27,0,0,0,5,0,1,0,1
,br.com.nhac.backend_nhac.domain.usuario,Usuario,12,12,0,0,5,2,5,2,5,2
,br.com.nhac.backend_nhac.domain.usuario,UsuarioService,126,351,23,23,26,76,24,22,6,17
,br.com.nhac.backend_nhac.domain.usuario,UsuarioController,34,121,0,2,10,30,2,10,2,9
,br.com.nhac.backend_nhac.domain.loja,LojaController,7,48,0,0,1,9,1,6,1,6
,br.com.nhac.backend_nhac.domain.loja,LojaService,69,228,9,17,10,51,10,14,3,8
,br.com.nhac.backend_nhac.exceptions,RegraDeNegocioException,0,7,0,0,0,3,0,2,0,2
,br.com.nhac.backend_nhac.exceptions,ErrorCode,0,133,0,0,0,22,0,3,0,3
,br.com.nhac.backend_nhac.exceptions,IdNaoEncontradoException,0,7,0,0,0,3,0,2,0,2
,br.com.nhac.backend_nhac.exceptions,TransicaoStatusInvalidaException,2,11,0,0,1,4,1,2,1,2
,br.com.nhac.backend_nhac.exceptions,TentativasLoginExcedidasException,8,0,0,0,3,0,2,0,2,0
,br.com.nhac.backend_nhac.exceptions,EstoqueInsuficienteException,0,16,0,0,0,4,0,2,0,2
,br.com.nhac.backend_nhac.exceptions,QuantidadeInvalidaException,8,0,0,0,3,0,2,0,2,0
,br.com.nhac.backend_nhac.exceptions,ErroPadraoDTO,0,30,0,0,0,1,0,1,0,1
,br.com.nhac.backend_nhac.exceptions,LojaNaoEncontradaException,9,7,0,0,3,3,1,2,1,2
,br.com.nhac.backend_nhac.exceptions,ProdutoNaoEncontradoException,11,19,2,2,3,3,4,1,2,1
,br.com.nhac.backend_nhac.exceptions,PagamentoRecusadoException,15,0,0,0,5,0,3,0,3,0
,br.com.nhac.backend_nhac.exceptions,AcessoNegadoException,0,7,0,0,0,3,0,2,0,2
,br.com.nhac.backend_nhac.exceptions,ProdutoInativoException,0,8,0,0,0,3,0,2,0,2
,br.com.nhac.backend_nhac.exceptions,NhacException,16,25,3,1,4,8,3,4,1,4
,br.com.nhac.backend_nhac.exceptions,LojaFechadaException,0,15,0,0,0,5,0,3,0,3
,br.com.nhac.backend_nhac.exceptions,ServicoIndisponivelException,2,5,0,0,1,2,1,1,1,1
,br.com.nhac.backend_nhac.exceptions,CredenciaisInvalidasException,0,7,0,0,0,3,0,2,0,2
,br.com.nhac.backend_nhac.exceptions,CampoObrigatorioFaltandoException,11,0,0,0,4,0,2,0,2,0
,br.com.nhac.backend_nhac.exceptions,ResourceExceptionHandler,137,220,12,7,43,61,12,15,3,11
,br.com.nhac.backend_nhac.domain.loja.dto,LojaResumoDTO,0,85,0,0,0,21,0,2,0,2
,br.com.nhac.backend_nhac.domain.loja.dto,LojaCreateDTO,8,293,8,10,0,49,8,3,0,2
,br.com.nhac.backend_nhac.domain.loja.dto,LojaCreateDTO.EnderecoDTO,0,24,0,0,0,1,0,1,0,1
,br.com.nhac.backend_nhac.domain.loja.dto,LojaDetalhesDTO.FormasPagamentoDTO,0,21,0,0,0,1,0,1,0,1
,br.com.nhac.backend_nhac.domain.loja.dto,LojaCreateDTO.FormasPagamentoDTO,0,21,0,0,0,1,0,1,0,1
,br.com.nhac.backend_nhac.domain.loja.dto,LojaDetalhesDTO,0,139,0,0,0,35,0,2,0,2
,br.com.nhac.backend_nhac.domain.loja.dto,LojaCreateDTO.HorariosDTO,0,24,0,0,0,1,0,1,0,1
,br.com.nhac.backend_nhac.domain.loja.dto,LojaDetalhesDTO.HorariosDTO,0,24,0,0,0,1,0,1,0,1
,br.com.nhac.backend_nhac.domain.loja.dto,LojaDetalhesDTO.EnderecoDTO,0,24,0,0,0,1,0,1,0,1
,br.com.nhac.backend_nhac.domain.loja.dto,LojaCreateDTO.DadosOperacionaisDTO,0,21,0,0,0,1,0,1,0,1
,br.com.nhac.backend_nhac.domain.loja.dto,CalcularFreteRequestDTO,9,0,0,0,1,0,1,0,1,0
,br.com.nhac.backend_nhac.domain.loja.dto,CalcularFreteResponseDTO,9,0,0,0,1,0,1,0,1,0
,br.com.nhac.backend_nhac.domain.loja.dto,LojaDetalhesDTO.DadosOperacionaisDTO,0,27,0,0,0,1,0,1,0,1
,br.com.nhac.backend_nhac.domain.loja.dto,LojaResumoDTO.DadosOperacionaisDTO,0,27,0,0,0,1,0,1,0,1
,br.com.nhac.backend_nhac.domain.loja.dto,LojaResumoDTO.FormasPagamentoDTO,0,21,0,0,0,1,0,1,0,1
,br.com.nhac.backend_nhac.domain.lojista.dto,FinanceiroResumoDTO.DadoFaturamentoDiario,9,0,0,0,1,0,1,0,1,0
